class_number; class_duration_minutes; class_description; total_hours_to_this_point; course_percentage_to_this_point; 
76; 20;  Styling Our Website Challenges and Solutions; 9hr 55min; 14.88 %; 
77; 1;  Bootstrap Challenge 1; 9hr 56min; 14.9 %; 
78; 17;  Solution to Bootstrap Challenge 1; 10hr 13min; 15.32 %; 
79; 4;  Tip from Angela - How to Deal with Procrastination; 10hr 17min; 15.43 %; 
80; 10;  The Bootstrap Carousel Part 1; 10hr 27min; 15.68 %; 
81; 17;  The Bootstrap Carousel Part 2; 10hr 44min; 16.1 %; 
82; 17;  Bootstrap Cards; 11hr 1min; 16.53 %; 
83; 21;  The CSS Z-Index and Stacking Order; 11hr 22min; 17.05 %; 
84; 22;  Media Query Breakpoints; 11hr 44min; 17.6 %; 
85; 1;  Bootstrap Challenge 2; 11hr 45min; 17.62 %; 
86; 12;  Bootstrap Challenge 2 Solution; 11hr 57min; 17.93 %; 
87; 8;  How to become a Better Programmer - Code Refactoring; 12hr 5min; 18.12 %; 
88; 19;  Put it into Practice - Refactor our Website Part 1; 12hr 24min; 18.6 %; 
89; 12;  Advanced CSS - Combining Selectors; 12hr 36min; 18.9 %; 
90; 5;  Refactoring our Website Part 2; 12hr 41min; 19.02 %; 
91; 6;  Advanced CSS - Selector Priority; 12hr 47min; 19.18 %; 
92; 3;  Completing the Website; 12hr 50min; 19.25 %; 
93; 1;  Download the Completed Website; 12hr 51min; 19.28 %; 
94; 3;  Tip from Angela - Building a Programming Habit; 12hr 54min; 19.35 %; 
95; 4;  Introduction to Web Design; 12hr 58min; 19.45 %; 
96; 9;  Understanding Colour Theory; 13hr 7min; 19.68 %; 
97; 10;  Understanding Typography and How to Choose a Font; 13hr 17min; 19.93 %; 
98; 10;  Manage ATTENTION with effective User Interface (UI) Design; 13hr 27min; 20.18 %; 
99; 14;  User Experience (UX) Design; 13hr 41min; 20.52 %; 
100; 18;  Web Design in Practice - Let's apply what we've learnt!; 13hr 59min; 20.97 %; 
101; 12;  Introduction to Javascript; 14hr 11min; 21.27 %; 
102; 14;  Javascript Alerts - Adding Behaviour to Websites; 14hr 25min; 21.62 %; 
103; 4;  Data Types; 14hr 29min; 21.73 %; 
104; 10;  Javascript Variables; 14hr 39min; 21.98 %; 
105; 3;  Javascript Variables Exercise Start; 14hr 42min; 22.05 %; 
106; 3;  Javascript Variables Exercise Solution; 14hr 45min; 22.12 %; 
107; 7;  Naming and Naming Conventions for Javascript Variables; 14hr 52min; 22.3 %; 
108; 3;  String Concatenation; 14hr 55min; 22.38 %; 
109; 6;  String Lengths and Retrieving the Number of Characters; 15hr 1min; 22.53 %; 
110; 9;  Slicing and Extracting Parts of a String; 15hr 10min; 22.75 %; 
111; 4;  Challenge: Changing Casing in Text; 15hr 14min; 22.85 %; 
112; 9;  Challenge: Changing String Casing Solution; 15hr 23min; 23.08 %; 
113; 6;  Basic Arithmetic and the Modulo Operator in Javascript; 15hr 29min; 23.23 %; 
114; 2;  Increment and Decrement Expressions; 15hr 31min; 23.28 %; 
115; 11;  Functions Part 1: Creating and Calling Functions; 15hr 42min; 23.55 %; 
116; 9;  Functions Part 1 Challenge - The Karel Robot; 15hr 51min; 23.77 %; 
117; 1;  The Karel Chess Board Solution; 15hr 52min; 23.8 %; 
118; 1;  A Quick Note About the Next Lesson; 15hr 53min; 23.82 %; 
119; 10;  Functions Part 2: Parameters and Arguments; 16hr 3min; 24.07 %; 
120; 4;  Life in Weeks Solution; 16hr 7min; 24.18 %; 
121; 11;  Functions Part 3: Outputs & Return Values; 16hr 18min; 24.45 %; 
122; 2;  Challenge: Create a BMI Calculator; 16hr 20min; 24.5 %; 
123; 6;  Challenge: BMI Calculator Solution; 16hr 26min; 24.65 %; 
124; 3;  Tip from Angela - Set Your Expectations; 16hr 29min; 24.73 %; 
125; 11;  Random Number Generation in Javascript: Building a Love Calculator; 16hr 40min; 25 %; 
126; 5;  Control Statements: Using If-Else Conditionals & Logic; 16hr 45min; 25.12 %; 
127; 3;  Comparators and Equality; 16hr 48min; 25.2 %; 
128; 3;  Combining Comparators; 16hr 51min; 25.27 %; 
129; 4;  Introducing the Leap Year Code Challenge; 16hr 55min; 25.37 %; 
130; 3;  Leap Year Solution; 16hr 58min; 25.45 %; 
131; 9;  Collections: Working with Javascript Arrays; 17hr 7min; 25.67 %; 
132; 16;  Adding Elements and Intermediate Array Techniques; 17hr 23min; 26.07 %; 
133; 4;  Who's Buying Lunch Solution; 17hr 27min; 26.17 %; 
134; 8;  Control Statements: While Loops; 17hr 35min; 26.38 %; 
135; 1;  Solution to the 99 Bottles Challenge; 17hr 36min; 26.4 %; 
136; 6;  Control Statements: For Loops; 17hr 42min; 26.55 %; 
137; 7;  Introducing the Fibonacci Code Challenge; 17hr 49min; 26.72 %; 
138; 8;  Fibonacci Solution; 17hr 57min; 26.92 %; 
139; 3;  Tip from Angela - Retrieval is How You Learn; 18hr; 27 %; 
140; 11;  Adding Javascript to Websites; 18hr 11min; 27.27 %; 
141; 12;  Introduction to the Document Object Model (DOM); 18hr 23min; 27.57 %; 
142; 1;  Solution to the DOM Challenge; 18hr 24min; 27.6 %; 
143; 14;  Selecting HTML Elements with Javascript; 18hr 38min; 27.95 %; 
144; 5;  Manipulating and Changing Styles of HTML Elements with Javascript; 18hr 43min; 28.07 %; 
145; 6;  The Separation of Concerns: Structure vs Style vs Behaviour; 18hr 49min; 28.23 %; 
146; 3;  Text Manipulation and the Text Content Property; 18hr 52min; 28.3 %; 
147; 2;  Manipulating HTML Element Attributes; 18hr 54min; 28.35 %; 
148; 3;  Tip from Angela - The 20 Minute Method; 18hr 57min; 28.43 %; 
149; 2;  Challenge: The Dicee Challenge; 18hr 59min; 28.48 %; 
150; 1;  Dicee Challenge Step 0 - Download the Skeleton Project; 19hr; 28.5 %; 
151; 1;  Dicee Challenge Step 1 - Create an External Javascript File; 19hr 1min; 28.52 %; 
152; 1;  Dicee Challenge Step 2 - Add Dice Images; 19hr 2min; 28.55 %; 
153; 1;  Dicee Challenge Step 3 - Create a Random Number; 19hr 3min; 28.57 %; 
154; 1;  Dicee Challenge Step 4 - Change the <img> to a Random Dice; 19hr 4min; 28.6 %; 
155; 1;  Dicee Challenge Step 5 - Change both <img> Elements; 19hr 5min; 28.62 %; 
156; 1;  Dicee Challenge Step 6 - Change the Title to Display a Winner; 19hr 6min; 28.65 %; 
157; 15;  The Solution to the Dicee Challenge; 19hr 21min; 29.03 %; 
158; 1;  Download the Completed Website; 19hr 22min; 29.05 %; 
159; 2;  Tip from Angela - Learning Before you Eat; 19hr 24min; 29.1 %; 
160; 1;  What We'll Make: Drum Kit; 19hr 25min; 29.12 %; 
161; 1;  Download the Starting Files; 19hr 26min; 29.15 %; 
162; 14;  Adding Event Listeners to a Button; 19hr 40min; 29.5 %; 
163; 13;  Higher Order Functions and Passing Functions as Arguments; 19hr 53min; 29.83 %; 
164; 1;  Higher Order Function Challenge Solution; 19hr 54min; 29.85 %; 
165; 11;  How to Play Sounds on a Website; 20hr 5min; 30.12 %; 
166; 12;  A Deeper Understanding of Javascript Objects; 20hr 17min; 30.43 %; 
167; 5;  How to Use Switch Statements in Javascript; 20hr 22min; 30.55 %; 
168; 6;  Objects, their Methods and the Dot Notation; 20hr 28min; 30.7 %; 
169; 1;  A Quick Note About the Next Lesson; 20hr 29min; 30.73 %; 
170; 8;  Using Keyboard Event Listeners to Check for Key Presses; 20hr 37min; 30.93 %; 
171; 12;  Understanding Callbacks and How to Respond to Events; 20hr 49min; 31.23 %; 
172; 9;  Adding Animation to Websites; 20hr 58min; 31.45 %; 
173; 1;  Download the Completed Website; 20hr 59min; 31.47 %; 
